Name,Course,Department,Age,City,Hobby,Allowance,Salary of Parents
Scott Morris,Electrical Engineering,Engineering,25,Houston,Traveling,4512.0,45343.0
Cynthia Fisher,Psychology,Arts,20,San Francisco,Cooking,3982.5,46814.0
Rose Norton,Physics,Arts,25,Houston,Traveling,1104.0,124463.0
Kristi Kelly,Business Administration,Science,25,Boston,Cooking,3197.6666666666665,101332.33333333331
Hector Ramirez,Mathematics,Science,25,Los Angeles,Music,1891.0,99646.66666666669
Victoria Sutton,Mechanical Engineering,Arts,21,Houston,Sports,1823.0,109526.33333333331
Cheryl Moon,Physics,Engineering,24,Boston,Reading,1755.0,119406.0
Karl Moore DDS,Mathematics,Engineering,24,Los Angeles,Music,2477.333333333333,76321.0
Joseph Haney,Biology,Business,18,San Francisco,Sports,3267.666666666667,82750.6
Kevin Lewis,Chemistry,Engineering,18,San Francisco,Gaming,4058.0,89180.2
Michael King,Information Technology,Arts,23,Boston,Reading,3827.5,102039.4
Meghan Wilcox,Mechanical Engineering,Business,24,Houston,Gaming,3712.25,108469.0
Jennifer Hall,Psychology,Health,20,New York,Music,4307.0,115035.33333333331
Vicki Burnett,Computer Science,Arts,19,Los Angeles,Traveling,1542.0,118594.66666666669
David Davidson,Nursing,Arts,25,New York,Cooking,3947.0,103974.5
Yvette Russell,Biology,Science,21,Remote,Cooking,3602.0,85795.0
Grace Moore,Biology,Engineering,22,Chicago,Reading,2758.333333333333,73897.0
John Morris MD,Chemistry,Law,18,Remote,Sports,3455.0,59278.0
Barbara Roberts,Chemistry,Arts,24,Chicago,Gaming,3114.6666666666665,138787.0
Cindy King,Information Technology,Business,19,San Francisco,Traveling,2774.333333333333,89816.5
Kurt Marks,Psychology,Arts,24,New York,Sports,2434.0,40846.0
Stephanie Miller,Mathematics,Health,24,Remote,Gaming,2685.0,71525.0
Sandra Keller,Philosophy,Law,23,Houston,Music,2737.0,96012.5
Dalton Peterson,Nursing,Engineering,19,New York,Reading,2789.0,120500.0
Kristin Kelly,Electrical Engineering,Arts,19,Remote,Music,2514.8,106112.5
Charlene Carr,Nursing,Arts,22,Remote,Gaming,1966.4,77337.5
Michael Sloan,Psychology,Engineering,18,San Francisco,Sports,1418.0,69150.33333333333
Paul Harrison,Nursing,Arts,19,Los Angeles,Reading,4275.0,75350.66666666667
Evan Dyer,Computer Science,Law,25,New York,Sports,3948.0,123855.0
Tracy Cochran,Chemistry,Arts,25,New York,Gaming,3556.4,94483.5
Nicole Bennett,Chemistry,Arts,20,Remote,Sports,3244.8,84693.0
Todd Harmon,Computer Science,Science,25,Boston,Cooking,2621.6,90455.0
Brittany Stephenson,Biology,Arts,21,Chicago,Sports,2310.0,126107.0
Robert Richardson,Chemistry,Science,18,Houston,Cooking,1413.0,90118.75
Dennis Juarez,Law,Science,19,San Francisco,Gaming,2910.0,107212.0
Katherine Martinez,Chemistry,Science,25,Remote,Music,2296.0,129016.0
Cheryl Clark,Mathematics,Engineering,23,Remote,Cooking,1682.0,114170.5
Carmen Anderson,Law,Engineering,21,Houston,Gaming,1068.0,99325.0
Christina Luna,Physics,Health,22,Houston,Sports,1137.0,133481.0
Paige Miller,Business Administration,Health,25,Boston,Sports,4401.0,57371.0
Trevor Burns,Mathematics,Arts,20,Remote,Traveling,3599.0,42240.0
Timothy Buck,Computer Science,Business,20,Chicago,Music,3942.5,63856.0
Ashlee Jimenez,Psychology,Business,23,New York,Traveling,4286.0,85472.0
Jessica Boyd,Chemistry,Science,21,New York,Gaming,1604.0,107088.0
Kelly Macdonald,Philosophy,Arts,19,Houston,Traveling,2799.0,96780.5
Kenneth Beasley,Psychology,Science,18,Houston,Sports,3347.333333333333,86473.0
Jesse Holmes,Mathematics,Science,19,Remote,Reading,3895.666666666667,76165.5
Michael Bullock,Psychology,Business,23,San Francisco,Traveling,3214.0,69946.0
Joseph Dawson,Mechanical Engineering,Law,25,Boston,Traveling,1984.0,74034.0
Heather Riley,Law,Business,25,Boston,Cooking,2301.0,131182.0
Edward Ortiz,Mathematics,Law,21,New York,Gaming,2618.0,131413.5
Wanda Williams,Business Administration,Engineering,20,Remote,Traveling,2935.0,131645.0
Laura Hopkins,Physics,Law,22,Chicago,Sports,2359.0,149459.0
Elizabeth Mills,Psychology,Business,23,Boston,Reading,1783.0,144242.16666666666
Edward Guzman,Nursing,Arts,20,Houston,Traveling,3000.0,133808.5
Robert Lucas,Physics,Engineering,20,Houston,Reading,4107.0,128591.66666666669
Andrew King,Psychology,Law,21,Remote,Sports,2826.0,55010.5
Autumn Hayden,Electrical Engineering,Law,23,Remote,Sports,2995.0,35218.0
Brian Matthews,Business Administration,Arts,23,San Francisco,Gaming,2614.5,46796.66666666666
Stephen Robinson,Philosophy,Arts,19,New York,Cooking,4612.0,69954.0
James Acosta,Mechanical Engineering,Health,25,Los Angeles,Sports,3462.0,111542.0
James Harris,Biology,Health,23,San Francisco,Sports,3000.0,76591.0
Alexandra Long,Biology,Business,23,Chicago,Cooking,3439.0,69566.0
Charles Parker,Business Administration,Business,21,Boston,Traveling,1196.0,69941.66666666667
Frederick Ross,Business Administration,Business,19,Los Angeles,Cooking,3662.0,107755.0
Laura Soto,Law,Business,22,Remote,Cooking,3183.0,62392.0
Austin Nguyen,Biology,Engineering,20,Remote,Sports,2621.0,47271.0
Paul Scott,Biology,Business,22,Remote,Sports,1023.0,63782.0
Cheryl Adams,Electrical Engineering,Law,22,Remote,Cooking,1937.3333333333333,44651.0
Christopher Martin,Architecture,Engineering,20,Remote,Sports,4878.0,85469.0
Scott Huynh,Architecture,Health,22,Chicago,Reading,2909.0,92018.0
David Jackson,Business Administration,Science,23,San Francisco,Gaming,4956.0,121522.0
Michael Williams,Psychology,Engineering,18,Remote,Cooking,2995.0,136274.0
Leslie Hoffman,Business Administration,Law,21,Houston,Gaming,1342.2,40219.0
Jennifer Diaz,Physics,Health,22,Houston,Gaming,1650.4,116133.0
Brian Chase MD,Physics,Health,22,Remote,Sports,1958.6,108985.5
Amanda Ramirez,Electrical Engineering,Law,24,Boston,Gaming,2266.8,101838.0
Andrew Chambers,Information Technology,Arts,22,Houston,Sports,2575.0,68501.0
Ashley Brock,Philosophy,Law,25,Los Angeles,Reading,2169.0,138744.5
James Callahan,Biology,Arts,22,San Francisco,Reading,1927.6666666666667,143486.0
Robert Young,Information Technology,Health,22,Boston,Cooking,1445.0,115188.0
Isabel Murray,Law,Business,24,Houston,Gaming,2227.5,101039.0
James Reid,Physics,Business,24,Houston,Traveling,3010.0,134296.0
Jacob Wood,Mathematics,Science,18,San Francisco,Reading,4544.0,108637.0
Mark Perez,Nursing,Health,22,Los Angeles,Music,4440.0,130104.0
David Decker,Chemistry,Law,18,San Francisco,Cooking,4232.0,132925.33333333334
Kimberly Koch,Physics,Engineering,18,Los Angeles,Sports,4024.0,135746.66666666666
Amber Foster,Architecture,Law,21,Remote,Traveling,3920.0,137157.33333333334
Jessica Green,Electrical Engineering,Law,18,Houston,Gaming,3352.0,143730.0
Chad Evans,Information Technology,Business,18,Remote,Cooking,2644.0,148892.0
Cynthia Ball,Philosophy,Engineering,23,Boston,Gaming,3034.0,73355.0
Jason Carr,Psychology,Arts,25,Boston,Cooking,3908.0,37792.0
David Figueroa,Philosophy,Law,18,Chicago,Music,3407.0,54235.0
Jennifer Landry,Mathematics,Science,23,San Francisco,Traveling,2906.0,70678.0
Kimberly Ball,Architecture,Law,25,Los Angeles,Traveling,4818.0,87121.0
Katherine Hamilton,Computer Science,Arts,19,San Francisco,Gaming,4864.0,103564.0
Natasha Hamilton,Electrical Engineering,Health,23,New York,Sports,4910.0,102975.0
Jeremy Smith,Psychology,Business,24,Boston,Gaming,2100.0,97099.0
Jared Webb,Psychology,Health,19,New York,Traveling,1232.0,50414.0
Andrew Fisher,Nursing,Engineering,19,San Francisco,Gaming,1481.3333333333333,64665.0
Bradley Mitchell,Electrical Engineering,Law,21,Los Angeles,Cooking,2093.0,38597.0
Christopher Scott,Mechanical Engineering,Law,25,New York,Traveling,3004.5,69476.5
Shannon Carrillo,Philosophy,Law,25,Los Angeles,Traveling,3916.0,100356.0
Kelli Ware,Physics,Arts,22,San Francisco,Sports,3906.6666666666665,91826.0
Samantha Gray,Physics,Business,24,San Francisco,Sports,3897.3333333333335,93312.5
Jessica Davis,Information Technology,Law,23,Boston,Traveling,3888.0,94799.0
Kelly Clark,Information Technology,Science,22,Chicago,Reading,4032.428571428572,110083.33333333331
Robert Waters,Psychology,Health,20,Boston,Traveling,4610.142857142857,112650.0
Anna Cunningham,Nursing,Business,21,San Francisco,Cooking,4899.0,67214.0
Shawn Doyle,Biology,Business,23,New York,Sports,3405.0,94244.0
Mr. Paul Hernandez,Information Technology,Arts,21,Houston,Traveling,2907.0,74700.0
Mindy Bailey,Mathematics,Business,24,San Francisco,Gaming,2500.0,111692.0
Michael Valencia,Electrical Engineering,Science,18,Houston,Gaming,1800.5,105634.66666666669
Kenneth Daniels,Chemistry,Science,22,Boston,Music,1101.0,99577.33333333331
Zachary Sutton,Mathematics,Law,18,Remote,Music,2373.8,87462.66666666667
Bryan Collins,Computer Science,Engineering,21,Houston,Traveling,3010.2,81405.33333333334
Cameron Carey DDS,Nursing,Health,19,Chicago,Reading,3646.6,75348.0
Jared Chandler,Mathematics,Science,18,Houston,Gaming,4560.0,63233.333333333336
Susan Harris,Computer Science,Business,18,San Francisco,Gaming,1704.0,136085.0
