ID,Name,Course,Department,Age,City,Hobby,Allowance,Salary of Parents
a94f873c-7938-4b59-8cf7-89a1014d41a9,Scott Morris,Electrical Engineering,Engineering,25,Houston,Traveling,4512.0,45343.0
ca58f46d-78a6-4e76-b753-6ade9a64ac21,Cynthia Fisher,Psychology,Arts,20,San Francisco,Cooking,3982.5,46814.0
95d2d60d-8ff1-46b2-897d-0dd393fefa0b,Rose Norton,Physics,Arts,25,Houston,Traveling,1104.0,124463.0
365a8d5f-cd4b-4811-bb5d-2e5c982ce31f,Kristi Kelly,Business Administration,Science,25,Boston,Cooking,3197.6666666666665,101332.33333333331
cc8c44c0-ea64-4d2d-965c-49069d3664a1,Hector Ramirez,Mathematics,Science,25,Los Angeles,Music,1891.0,99646.66666666669
0c24791c-5321-48e8-9863-0d29aff9ed41,Victoria Sutton,Mechanical Engineering,Arts,21,Houston,Sports,1823.0,109526.33333333331
59561e63-869b-46b9-b1fa-a8672c0a6017,Cheryl Moon,Physics,Engineering,24,Boston,Reading,1755.0,119406.0
f053d776-d496-4bcd-b4b4-df1f78b91a37,Karl Moore DDS,Mathematics,Engineering,24,Los Angeles,Music,2477.333333333333,76321.0
55b4fb1c-d8b8-4818-8924-5dcf7c8264c1,Joseph Haney,Biology,Business,18,San Francisco,Sports,3267.666666666667,82750.6
ae8f517c-86c1-4b5d-98cf-94d4d81a960f,Kevin Lewis,Chemistry,Engineering,18,San Francisco,Gaming,4058.0,89180.2
6a38e630-b0cc-41a4-b54d-d682e1213e5a,Michael King,Information Technology,Arts,23,Boston,Reading,3827.5,102039.4
68683fa2-4416-4f0a-85ee-5853a7717158,Meghan Wilcox,Mechanical Engineering,Business,24,Houston,Gaming,3712.25,108469.0
b367f84a-baf2-417f-b3bb-a4726c8d905f,Jennifer Hall,Psychology,Health,20,New York,Music,4307.0,115035.33333333331
35c62914-68e0-4455-aaec-e3fbc44d9771,Vicki Burnett,Computer Science,Arts,19,Los Angeles,Traveling,1542.0,118594.66666666669
6a681567-b867-49ee-ab11-5a4f07451176,David Davidson,Nursing,Arts,25,New York,Cooking,3947.0,103974.5
