Apartment ID,Location,Price,Size (sqft),Bedrooms,Bathrooms,Rooms,Has Balcony,Has Parking,Floor Level,Sale Date,Condition,Owner Name,Email,Phone,Has Elevator
b5c3e269-a074-4ba7-9e12-a51ae98ef6b1,Boston,,3705.0,,,3.0,False,,Penthouse,2022-11-14,New,Diamond Bryant,jessica71@example.net,720.231.6313x6969,
b84a37a5-a5bb-4717-8f8f-291230facefc,San Francisco,998517.0,,2.0,,,False,True,Penthouse,2021-06-02,New,Robert Mills,jaredcrane@example.com,,False
632f9672-c372-4fc8-93dd-d78311ea76b0,New York,823406.0,,2.0,,3.0,True,,Second,2024-06-30,,Tina Bernard,,850-218-9980,
d6f2c45c-6a39-41c2-8c33-1efdbfe3e67d,Los Angeles,,,4.0,,5.0,,True,Penthouse,2020-04-20,Renovated,James Martinez,sarahharmon@example.org,+1-939-471-0260x584,
6e21a642-8c37-4233-94a2-e77b1ce34d58,New York,,,3.0,,,,,Second,2020-09-22,Old,Marie Cherry,spencerkimberly@example.org,234-869-3406x941,
427140a6-0624-4675-b214-5fee1c61f0ca,Chicago,,,,,,True,,,2023-02-13,Renovated,Anthony Green,fletchersusan@example.net,+1-621-537-8613,
5a8667f6-01a1-4b4c-a4ce-2d9f6c4ef52e,Los Angeles,,1580.0,2.0,2.0,6.0,,False,Ground,2021-11-30,Old,Alex Greene,anna19@example.org,001-749-789-0938,True
f85967ed-9c6a-4487-862f-3efd0e9db3a6,Seattle,972888.0,1720.0,3.0,1.0,10.0,False,True,Penthouse,2020-10-10,Old,Brian Rice,madison51@example.net,524-599-0079,False
b649eee1-fe02-40a9-a4c7-460f53165284,Boston,,3807.0,1.0,,2.0,True,,Third,2024-11-22,Old,Jacqueline Miller,karenclark@example.org,+1-860-599-3354x16557,False
3b9e1625-5881-4641-ae2d-a2fa638d2e00,Austin,,,1.0,,,False,True,Penthouse,2020-06-11,New,Christopher Hodges,jacob68@example.com,(369)451-9471x049,True
fd5c9f85-0c88-4461-b78f-dcba1a6d55d2,Dallas,131641.0,1878.0,,,3.0,True,True,First,2023-12-25,Needs Renovation,Amanda Mitchell,ewilson@example.com,+1-410-509-2857x178,True
